H,mu,F_w,F_mu,sign_F_mu,saturated_M
-3,-6,3.28309625544,4.48883889491e-06,1,-0.00443783904213
-3,-3,1.63933040794,1.63933040794,1,-0.00443783904213
-3,0,0,0.795730435207,1,-0.00443783904213
-3,3,-0.00443183221663,0.00443183221663,1,-0.00443783904213
-3,6,-0.00443783903774,6.06766994691e-09,1,-0.00443783904213
-2,-6,2.37321542991,2.54918448381e-07,1,-0.055247862679
-2,-3,2.23994663439,0.175975161181,1,-0.055247862679
-2,0,0,0.761580602728,1,-0.055247862679
-2,3,-0.0551714467656,0.00433439086812,1,-0.055247862679
-2,6,-0.0552478626232,5.93443782592e-09,1,-0.055247862679
-1,-6,1.52513526668,2.61443680977e-08,1,-0.287599970939
-1,-3,1.51223379605,0.0189599995404,1,-0.287599970939
-1,0,0,0.544707405599,1,-0.287599970939
-1,3,-0.287138024337,0.00360006291599,1,-0.287599970939
-1,6,-0.287599970602,4.93013286139e-09,1,-0.287599970939
-0.5,-6,1.14107776672,7.54075817302e-09,1,-0.509160433837
-0.5,-3,1.13609373392,0.00549115283434,1,-0.509160433837
-0.5,0,0,0.305529883648,1,-0.509160433837
-0.5,3,-0.508165688787,0.00245614897697,1,-0.509160433837
-0.5,6,-0.509160433111,3.36476251605e-09,1,-0.509160433837
0,-6,0.797884559228,0,0,0
0,-3,0.795730435207,0,0,0
0,0,0,0,0,0
0,3,-0.795730435207,0,0,0
0,6,-0.797884559228,0,0,0
0.5,-6,0.509160433111,-3.36476251605e-09,-1,0.509160433837
0.5,-3,0.508165688787,-0.00245614897697,-1,0.509160433837
0.5,0,0,-0.305529883648,-1,0.509160433837
0.5,3,-1.13609373392,-0.00549115283434,-1,0.509160433837
0.5,6,-1.14107776672,-7.54075817302e-09,-1,0.509160433837
1,-6,0.287599970602,-4.93013286139e-09,-1,0.287599970939
1,-3,0.287138024337,-0.00360006291599,-1,0.287599970939
1,0,0,-0.544707405599,-1,0.287599970939
1,3,-1.51223379605,-0.0189599995404,-1,0.287599970939
1,6,-1.52513526668,-2.61443680977e-08,-1,0.287599970939
2,-6,0.0552478626232,-5.93443782592e-09,-1,0.055247862679
2,-3,0.0551714467656,-0.00433439086812,-1,0.055247862679
2,0,0,-0.761580602728,-1,0.055247862679
2,3,-2.23994663439,-0.175975161181,-1,0.055247862679
2,6,-2.37321542991,-2.54918448381e-07,-1,0.055247862679
3,-6,0.00443783903774,-6.06766994691e-09,-1,0.00443783904213
3,-3,0.00443183221663,-0.00443183221663,-1,0.00443783904213
3,0,0,-0.795730435207,-1,0.00443783904213
3,3,-1.63933040794,-1.63933040794,-1,0.00443783904213
3,6,-3.28309625544,-4.48883889491e-06,-1,0.00443783904213
